id,name,maxLv,req,tips,timeCost,,
1,休息室,3,1100|10,一张普通木板床，勉强可以用来休息。,1,Bedroom,A normal wooden bed.
2,休息室,3,1101|20;2102|30,增加淋浴设施，夏季可以用来降温。,10,Bedroom,Build a shower facility.
3,休息室,3,1100|30;1101|30;2104|15,增加热水设施。冬季可以洗热水澡。,16,Bedroom,Build a hot shower facilities.
1,仓库,10,1100|20;1101|20,仓库，用来存储物资(20空间)。,2,Warehouse,Build a warehouse with 20 space.
2,仓库,10,1100|20;1101|20,增加5存储空间。,4,Warehouse,Increase 5 space.
3,仓库,10,1100|20;1101|20,增加5存储空间。,4,Warehouse,Increase 5 space.
4,仓库,10,1100|30;1101|30,增加5存储空间。,8,Warehouse,Increase 5 space.
5,仓库,10,1100|30;1101|30,增加5存储空间。,8,Warehouse,Increase 5 space.
6,仓库,10,1100|30;1101|30,增加5存储空间。,12,Warehouse,Increase 5 space.
7,仓库,10,1100|50;1101|50,增加5存储空间。,12,Warehouse,Increase 5 space.
8,仓库,10,1100|50;1101|50,增加5存储空间。,16,Warehouse,Increase 5 space.
9,仓库,10,1100|50;1101|50,增加5存储空间。,16,Warehouse,Increase 5 space.
10,仓库,10,1100|50;1101|50,增加5存储空间。,20,Warehouse,Increase 5 space.
1,厨房,2,1100|20,用石头垒成的简单灶台，用于制作食品、饮料。,2,Kitchen,A simple stone stove.
2,厨房,2,1101|50;2200|20,高级灶台，可以烹饪更多种类的美食。,5,Kitchen,Upgrade your kitchen.
1,工作台,3,1101|30,简单的石制工作台，用于打造物品。,3,Workshop,A small stone workbench.
2,工作台,3,2200|30;2201|30,可以制造更多种类的物品。,8,Workshop,Upgrade your workshop.
3,工作台,3,2300|30;2301|30,高级工作台，可以打造高级物品。,15,Workshop,Upgrade your workshop.
1,研究室,1,1100|50;1101|50,研究各项科技，提高生产力。,5,Technology,A place for research.
1,农田,4,3102|20;4100|20,农田，用于种植作物。,10,Farm,Farmland for growing crops and making wine.
2,农田,4,3102|20;4100|20,增加一块农田。,10,Farm,Increase 1 farmland.
3,农田,4,3102|20;4100|20,增加一块农田。,10,Farm,Increase 1 farmland.
4,农田,4,3102|20;4100|20,增加一块农田。,10,Farm,Increase 1 farmland.
1,宠物笼,5,1100|20;2104|20;2103|20,可以将你捕获的宠物养在这里(获得10宠物空间)。,5,PetCage,A place to keep your pet.
2,宠物笼,5,1100|20;2104|20;2103|20,扩建宠物笼(增加10宠物空间)。,5,PetCage,Increase 10 pet space.
3,宠物笼,5,1100|20;2104|20;2103|20,扩建宠物笼(增加10宠物空间)。,5,PetCage,Increase 10 pet space.
4,宠物笼,5,1100|20;2104|20;2103|20,扩建宠物笼(增加10宠物空间)。,5,PetCage,Increase 10 pet space.
5,宠物笼,5,1100|20;2104|20;2103|20,扩建宠物笼(增加10宠物空间)。,5,PetCage,Increase 10 pet space.
1,水井,1,1100|30;1101|30,用于收集饮用水。,10,Well,A place to collect drinking water.
1,成就,1,,成就,0,Achievement,achievement
1,祭坛,1,1101|30;2100|30,古老的祭坛，用于存档和读档。,20,Altar,An ancient altar for storing and loading memmories.
